Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C116, C117, C118, C119, C120, C121, C122, C123, C124",0603,24,100n,C14663
"D101, D102, D103, D104, D105, D106, D107, D108, D109, D110, D111, D112, D113, D114, D115, D116, D117, D118, D119, D120, D121, D122, D123, D124",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,24,WS2812B,C2761795
J101,PHD_02x08V-H,1,Conn_02x08_Odd_Even,-
U101,CA56-12CGKWA,1,CA56-12CGKWA,-
